temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.02458986579405499,0.8428728580474854,llama3_gen_q002
0.1,0.7,0.02562480871642367,0.8386250734329224,llama3_gen_q002
0.1,0.9,0.029961940136942092,0.8423019051551819,llama3_gen_q002
0.3,0.5,0.018633401322606064,0.8345394134521484,llama3_gen_q002
0.3,0.7,0.024656729131079684,0.8382034301757812,llama3_gen_q002
0.3,0.9,0.027955423406958526,0.8355977535247803,llama3_gen_q002
0.5,0.5,0.018800887522225272,0.8408253788948059,llama3_gen_q002
0.5,0.7,0.028731676600557,0.8401600122451782,llama3_gen_q002
0.5,0.9,0.03463356639654493,0.8405860662460327,llama3_gen_q002
0.7,0.5,0.023785615999166728,0.8427610397338867,llama3_gen_q002
0.7,0.7,0.025118067483582505,0.8411800861358643,llama3_gen_q002
0.7,0.9,0.029784275148434614,0.8439433574676514,llama3_gen_q002
