temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.012479237889983874,0.8398715853691101,llama3_gen_q005
0.1,0.7,0.01437805052161258,0.839824914932251,llama3_gen_q005
0.1,0.9,0.01320281587063635,0.8435669541358948,llama3_gen_q005
0.3,0.5,0.015033133483844855,0.8400725722312927,llama3_gen_q005
0.3,0.7,0.0145766449966396,0.8396776914596558,llama3_gen_q005
0.3,0.9,0.014033772860900446,0.83310467004776,llama3_gen_q005
0.5,0.5,0.017345693272191785,0.8379296064376831,llama3_gen_q005
0.5,0.7,0.009500777178604926,0.8345365524291992,llama3_gen_q005
0.5,0.9,0.01144605732755585,0.8288650512695312,llama3_gen_q005
0.7,0.5,0.012502742565360552,0.8410441279411316,llama3_gen_q005
0.7,0.7,0.011201368119993518,0.8322069644927979,llama3_gen_q005
0.7,0.9,0.013287415520584375,0.8298022150993347,llama3_gen_q005
