temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.09374513291910166,0.8777324557304382,llama3_gen_q009
0.1,0.7,0.08566854504775309,0.8770058751106262,llama3_gen_q009
0.1,0.9,0.09754535332502565,0.8815202713012695,llama3_gen_q009
0.3,0.5,0.09236700621927843,0.8746711015701294,llama3_gen_q009
0.3,0.7,0.09754535332502565,0.8815135955810547,llama3_gen_q009
0.3,0.9,0.08844797064990628,0.8866678476333618,llama3_gen_q009
0.5,0.5,0.09787321749907096,0.8778694868087769,llama3_gen_q009
0.5,0.7,0.08713843933765138,0.8784562945365906,llama3_gen_q009
0.5,0.9,0.11105157618,0.8865619897842407,llama3_gen_q009
0.7,0.5,0.1082227473120914,0.8767239451408386,llama3_gen_q009
0.7,0.7,0.1050972775874684,0.8886028528213501,llama3_gen_q009
0.7,0.9,0.17439751836457498,0.896773636341095,llama3_gen_q009
