temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.014322648420919312,0.8352723121643066,llama3_gen_q003
0.1,0.7,0.013832627796621455,0.8301026821136475,llama3_gen_q003
0.1,0.9,0.012451151146650415,0.8315179347991943,llama3_gen_q003
0.3,0.5,0.014322648420919312,0.8352723121643066,llama3_gen_q003
0.3,0.7,0.01026403180647008,0.834754228591919,llama3_gen_q003
0.3,0.9,0.008348120130496918,0.8233966827392578,llama3_gen_q003
0.5,0.5,0.009484391064183697,0.8312346339225769,llama3_gen_q003
0.5,0.7,0.011117239651289973,0.830748975276947,llama3_gen_q003
0.5,0.9,0.011675097337051377,0.8328195214271545,llama3_gen_q003
0.7,0.5,0.009779967340359859,0.8313183784484863,llama3_gen_q003
0.7,0.7,0.013389289429162251,0.8259563446044922,llama3_gen_q003
0.7,0.9,0.01619516180946655,0.8337633609771729,llama3_gen_q003
