temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.0,0.8191933631896973,llama3_gen_q010
0.1,0.7,0.0,0.8207368850708008,llama3_gen_q010
0.1,0.9,0.008576917585367876,0.8238192796707153,llama3_gen_q010
0.3,0.5,0.0,0.8259896636009216,llama3_gen_q010
0.3,0.7,0.0,0.8184164762496948,llama3_gen_q010
0.3,0.9,0.0,0.8264155983924866,llama3_gen_q010
0.5,0.5,0.009585248075872226,0.8205740451812744,llama3_gen_q010
0.5,0.7,0.0,0.8111075758934021,llama3_gen_q010
0.5,0.9,0.0,0.81659334897995,llama3_gen_q010
0.7,0.5,0.0,0.8241130113601685,llama3_gen_q010
0.7,0.7,0.0,0.8208577632904053,llama3_gen_q010
0.7,0.9,0.0,0.8195592164993286,llama3_gen_q010
