temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.02530660061465113,0.8290500640869141,llama3_gen_q006
0.1,0.7,0.026953576166071965,0.823635995388031,llama3_gen_q006
0.1,0.9,0.024762814351699868,0.8257299661636353,llama3_gen_q006
0.3,0.5,0.026097899561737182,0.8223348259925842,llama3_gen_q006
0.3,0.7,0.03401549981485962,0.8315594792366028,llama3_gen_q006
0.3,0.9,0.04121707215248757,0.8349594473838806,llama3_gen_q006
0.5,0.5,0.026171795936166437,0.8254779577255249,llama3_gen_q006
0.5,0.7,0.027307933658961305,0.8274868130683899,llama3_gen_q006
0.5,0.9,0.02691755146468742,0.8292649388313293,llama3_gen_q006
0.7,0.5,0.029085632696633033,0.8317407965660095,llama3_gen_q006
0.7,0.7,0.03502640074994699,0.8309844732284546,llama3_gen_q006
0.7,0.9,0.045502853450767156,0.8336818814277649,llama3_gen_q006
