temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.06912269075797449,0.8656314611434937,llama3_gen_q002
0.1,0.7,0.08093340901753707,0.8695241808891296,llama3_gen_q002
0.1,0.9,0.08126473192649379,0.8695327043533325,llama3_gen_q002
0.3,0.5,0.07278264245609176,0.8660666346549988,llama3_gen_q002
0.3,0.7,0.07096964833251863,0.8687032461166382,llama3_gen_q002
0.3,0.9,0.07232436497793229,0.8669434785842896,llama3_gen_q002
0.5,0.5,0.07386472838084644,0.8692255616188049,llama3_gen_q002
0.5,0.7,0.0876843901934308,0.8736922740936279,llama3_gen_q002
0.5,0.9,0.08085553589980331,0.8770848512649536,llama3_gen_q002
0.7,0.5,0.07108301142227325,0.8709271550178528,llama3_gen_q002
0.7,0.7,0.06767345078044425,0.869111180305481,llama3_gen_q002
0.7,0.9,0.14184883120645844,0.9036957621574402,llama3_gen_q002
