temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.070528414997635,0.8602917790412903,llama3_gen_q003
0.1,0.7,0.02980053294304303,0.8437291979789734,llama3_gen_q003
0.1,0.9,0.1192977088119852,0.8786575794219971,llama3_gen_q003
0.3,0.5,0.070528414997635,0.8602917790412903,llama3_gen_q003
0.3,0.7,0.11882894647111757,0.8787646293640137,llama3_gen_q003
0.3,0.9,0.0857486253784082,0.8695518970489502,llama3_gen_q003
0.5,0.5,0.03506225153276225,0.8514758944511414,llama3_gen_q003
0.5,0.7,0.09301164974851427,0.8741822242736816,llama3_gen_q003
0.5,0.9,0.12120452676140403,0.8788721561431885,llama3_gen_q003
0.7,0.5,0.11396894110118662,0.8749896883964539,llama3_gen_q003
0.7,0.7,0.03312362975026516,0.8514196872711182,llama3_gen_q003
0.7,0.9,0.03378945835545475,0.8486524224281311,llama3_gen_q003
