temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.11839294383237048,0.8716956973075867,llama3_gen_q006
0.1,0.7,0.11927157072648119,0.8722468018531799,llama3_gen_q006
0.1,0.9,0.1741388401699486,0.8841533064842224,llama3_gen_q006
0.3,0.5,0.11839294383237048,0.8716956973075867,llama3_gen_q006
0.3,0.7,0.1741388401699486,0.8841533064842224,llama3_gen_q006
0.3,0.9,0.11639738466708592,0.8778560757637024,llama3_gen_q006
0.5,0.5,0.12684673706684352,0.8780052065849304,llama3_gen_q006
0.5,0.7,0.19374505460839309,0.8864197731018066,llama3_gen_q006
0.5,0.9,0.18636411894472343,0.8912087082862854,llama3_gen_q006
0.7,0.5,0.1725627609689051,0.885572612285614,llama3_gen_q006
0.7,0.7,0.17114088108416314,0.8904262781143188,llama3_gen_q006
0.7,0.9,0.13743259805654215,0.8883386850357056,llama3_gen_q006
