temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.01010247650112122,0.8103987574577332,llama3_gen_q004
0.1,0.7,0.015193700767975429,0.8034994006156921,llama3_gen_q004
0.1,0.9,0.010151345728594772,0.8161669969558716,llama3_gen_q004
0.3,0.5,0.013316493262367406,0.8139015436172485,llama3_gen_q004
0.3,0.7,0.012153765965010522,0.8074991703033447,llama3_gen_q004
0.3,0.9,0.010469566582842458,0.8243573307991028,llama3_gen_q004
0.5,0.5,0.01211961099855931,0.8082723617553711,llama3_gen_q004
0.5,0.7,0.010033565912786894,0.8139564394950867,llama3_gen_q004
0.5,0.9,0.01745842790446904,0.8111824989318848,llama3_gen_q004
0.7,0.5,0.01564323281866832,0.809010922908783,llama3_gen_q004
0.7,0.7,0.013619144323604856,0.8274561166763306,llama3_gen_q004
0.7,0.9,0.011577626435780183,0.8102272748947144,llama3_gen_q004
