temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.022639257956405447,0.8259584903717041,llama3_gen_q009
0.1,0.7,0.03160246233144702,0.8311727643013,llama3_gen_q009
0.1,0.9,0.02646732590541006,0.8180999159812927,llama3_gen_q009
0.3,0.5,0.03683754107778978,0.8306366801261902,llama3_gen_q009
0.3,0.7,0.02981149674603575,0.8332592248916626,llama3_gen_q009
0.3,0.9,0.019663761896926386,0.836766242980957,llama3_gen_q009
0.5,0.5,0.02145837282229747,0.8387848734855652,llama3_gen_q009
0.5,0.7,0.0440640914505881,0.826941967010498,llama3_gen_q009
0.5,0.9,0.02178879781628829,0.8420814871788025,llama3_gen_q009
0.7,0.5,0.03978617274852677,0.8328756093978882,llama3_gen_q009
0.7,0.7,0.03126735335067877,0.8336188793182373,llama3_gen_q009
0.7,0.9,0.033194262363067224,0.8372644186019897,llama3_gen_q009
