temperature,top_p,BLEU,BERTScore,query_id
0.1,0.5,0.03262217372606668,0.8482376337051392,llama3_gen_q005
0.1,0.7,0.06115652062281249,0.8554527759552002,llama3_gen_q005
0.1,0.9,0.06331042014047068,0.8561128377914429,llama3_gen_q005
0.3,0.5,0.06355418838697174,0.848584771156311,llama3_gen_q005
0.3,0.7,0.05980177064799011,0.8552636504173279,llama3_gen_q005
0.3,0.9,0.029445534494396366,0.8478431701660156,llama3_gen_q005
0.5,0.5,0.056556086796323034,0.8475197553634644,llama3_gen_q005
0.5,0.7,0.04792486134502221,0.841214656829834,llama3_gen_q005
0.5,0.9,0.06132757994988865,0.8545205593109131,llama3_gen_q005
0.7,0.5,0.04778114395626979,0.8386279940605164,llama3_gen_q005
0.7,0.7,0.02902290938445439,0.8446847796440125,llama3_gen_q005
0.7,0.9,0.051936623647367064,0.8475511074066162,llama3_gen_q005
